Serial Number,Outlook,Temperature,Windy,Humidity,precipitation,temp_max,temp_min,wind
90,Sunny,Mild,FALSE,High,5.6,9.4,5,4.7
91,Sunny,Hot,FALSE,Normal,13.2,10,2.8,3.4
92,Overcast,Mild,TRUE,Normal,1.5,8.9,4.4,6.8
93,Rainy,Cool,FALSE,High,0,16.7,4.4,3.1
94,Sunny,Mild,FALSE,Normal,1.5,11.7,3.3,3.1
95,Overcast,Cool,TRUE,High,0,10.6,2.8,2.1
96,Rainy,Hot,TRUE,Normal,4.6,9.4,2.8,1.8
97,Sunny,Cool,FALSE,High,0.3,11.1,3.3,2.6
98,Overcast,Mild,TRUE,Normal,0,16.1,1.7,4.3
99,Rainy,Hot,FALSE,Normal,0,21.1,7.2,4.1
100,Sunny,Mild,FALSE,High,0,20,6.1,2.1
101,Sunny,Mild,TRUE,High,17.98707468,8.144075685,-2.674695587,1.497826166
102,Overcast,Hot,FALSE,Normal,12.70521738,16.8846799,5.727544288,1.078299079
103,Rainy,Hot,TRUE,Normal,21.63810369,12.67611582,-0.788233792,5.925540316
104,Sunny,Cool,FALSE,High,12.89979586,17.7662445,0.692390843,1.11871147
105,Overcast,Hot,FALSE,Normal,8.69756708,5.366296276,-2.307306035,6.535266733
106,Overcast,Mild,FALSE,High,7.883909714,10.65226167,-0.426086878,7.386162564
107,Overcast,Mild,TRUE,Normal,9.489556792,4.123874642,-2.413998458,7.13970208
108,Overcast,Cool,TRUE,Normal,29.89767834,3.226080503,5.623591542,7.269855542
109,Overcast,Mild,FALSE,High,25.32123119,5.430067596,0.200457565,3.326774228
110,Overcast,Cool,TRUE,High,5.359473542,15.87694848,6.12129157,5.674834058
111,Sunny,Cool,FALSE,High,16.28990768,0.802624948,1.399850765,2.947332706
112,Overcast,Cool,FALSE,Normal,28.29691824,13.9336002,8.259775884,3.246764778
113,Overcast,Mild,TRUE,Normal,15.62020605,7.915809966,0.86513868,4.817969991
114,Overcast,Cool,FALSE,Normal,21.60504943,17.31565811,7.872049842,4.620808693
115,Sunny,Hot,TRUE,High,25.09564802,5.617754072,0.859989313,4.122198668
116,Rainy,Cool,FALSE,Normal,3.296889983,13.06351776,5.526638238,7.276804688
117,Overcast,Mild,FALSE,High,8.088730266,7.718602296,3.875298761,7.797997824
118,Overcast,Cool,FALSE,High,15.93470282,17.55675297,9.342413804,4.777789732
119,Overcast,Cool,TRUE,Normal,16.3189476,12.1806597,6.818199395,3.743845014
120,Rainy,Mild,TRUE,High,2.187751738,9.668970127,8.400394699,1.241732093
121,Sunny,Cool,TRUE,High,29.15239628,14.05020584,7.345176021,2.735903395
122,Rainy,Cool,TRUE,High,14.97791664,13.54941245,6.782328673,6.952521652
123,Overcast,Cool,TRUE,High,29.90790139,2.079259184,9.992573702,4.588531062
124,Overcast,Hot,TRUE,Normal,9.827617561,14.4584336,1.235707339,7.685402773
125,Overcast,Cool,TRUE,Normal,18.68027346,13.02439325,0.582854266,7.661401804
126,Overcast,Cool,FALSE,High,7.637386031,11.53409553,4.164716181,5.942050203
127,Sunny,Cool,FALSE,Normal,6.768409146,5.532546583,-0.851315129,2.53974068
128,Overcast,Mild,TRUE,Normal,7.021922882,14.53626368,6.330538191,1.902967482
129,Overcast,Mild,TRUE,High,6.855107575,18.47972089,0.164139826,1.189774177
130,Rainy,Hot,FALSE,Normal,11.37547458,5.864034961,-2.8108683,5.962792115
131,Rainy,Cool,FALSE,Normal,7.878426676,19.17779284,-2.813556199,1.294994666
132,Rainy,Hot,TRUE,Normal,17.92634246,7.597855378,2.179328057,3.423599233
133,Sunny,Hot,TRUE,Normal,22.98835409,15.5143235,1.559483817,2.442794955
134,Sunny,Hot,TRUE,Normal,9.990055697,16.30009618,-1.420530158,6.779723494
135,Sunny,Mild,TRUE,High,22.34670052,6.520029908,0.527665745,6.077939409
136,Rainy,Hot,FALSE,Normal,16.1657345,0.652591338,8.9713542,5.118200169
137,Sunny,Cool,FALSE,Normal,13.92729387,13.55802215,0.310475202,1.331559095
138,Overcast,Cool,TRUE,Normal,8.595918725,16.48759509,5.120973757,1.718325843
139,Overcast,Cool,TRUE,Normal,12.95820478,15.81438793,4.362604826,4.215536037
140,Sunny,Mild,TRUE,High,28.0188157,19.40095518,6.431491184,4.70945532
141,Overcast,Hot,TRUE,High,7.151193298,1.522795649,6.081149591,3.004849348
142,Sunny,Cool,FALSE,Normal,29.32629202,9.955298085,1.917772913,1.273131764
143,Overcast,Hot,FALSE,Normal,23.98402759,14.75122373,-2.721798893,5.673230995
144,Overcast,Cool,FALSE,Normal,26.34579926,10.81842034,-1.307652923,6.057819871
145,Rainy,Hot,TRUE,High,28.00225079,2.274952012,-2.760854317,4.467964298
146,Overcast,Mild,FALSE,High,14.39312525,9.217328898,1.973267728,2.815328266
147,Rainy,Hot,FALSE,High,4.1950474,2.621292837,7.884369957,3.652174235
148,Sunny,Hot,FALSE,High,5.029219305,17.0932472,-1.585765379,5.113290213
149,Overcast,Cool,TRUE,High,1.295974099,13.16876382,-1.82983296,3.033379775
150,Sunny,Hot,TRUE,High,18.9658848,8.325141128,-0.21486951,1.576796028
151,Sunny,Mild,TRUE,High,26.21700156,6.08623924,0.147906942,2.967769767
152,Overcast,Mild,TRUE,High,12.87771023,17.35027135,9.543659161,6.413123457
153,Overcast,Hot,TRUE,High,29.75636003,2.57108652,5.228553553,3.920147759
154,Rainy,Hot,FALSE,High,22.79353554,8.603864847,-0.756184089,5.84394204
155,Sunny,Cool,FALSE,High,20.20443505,19.60703094,9.543539569,4.394654553
156,Sunny,Cool,TRUE,Normal,27.08095247,15.27565782,6.395009038,7.410690971
157,Sunny,Hot,FALSE,Normal,22.31744411,0.490032082,-0.584214009,5.792866289
158,Overcast,Mild,FALSE,Normal,16.06759206,6.092948066,5.128518579,6.318743421
159,Overcast,Hot,TRUE,High,14.3566385,19.82344895,9.827971707,3.093454505
160,Sunny,Mild,TRUE,Normal,15.37483165,12.7005393,8.762476126,4.749204168
161,Sunny,Hot,FALSE,Normal,24.97173622,8.798797071,7.438733745,2.068802098
162,Rainy,Mild,TRUE,Normal,25.59816745,5.975601993,-0.239785536,1.011355614
163,Rainy,Mild,FALSE,High,10.25953057,10.23601185,4.307847578,6.732593326
164,Sunny,Hot,TRUE,Normal,11.04006341,10.01098646,-0.018478525,6.607960746
165,Overcast,Mild,TRUE,High,23.91613339,18.27487116,5.614130667,6.733156525
166,Sunny,Mild,TRUE,Normal,8.061189809,17.05129459,1.340371674,6.944655272
167,Sunny,Hot,TRUE,Normal,21.04165775,0.511610818,6.281115185,7.28937028
168,Rainy,Hot,FALSE,High,7.006892657,6.790161358,3.911225803,5.590839582
169,Rainy,Hot,FALSE,Normal,19.77080911,0.563345492,2.895909826,3.432509338
170,Sunny,Mild,TRUE,High,24.89107738,17.64428097,1.981702633,6.622001951
171,Sunny,Hot,TRUE,High,25.60111758,10.40169669,1.606304382,5.442239671
172,Rainy,Cool,FALSE,High,16.16905554,3.277777504,7.746118923,5.307721074
173,Sunny,Hot,TRUE,High,16.45190262,18.91865234,1.838708492,1.589142813
174,Sunny,Mild,TRUE,High,9.883283089,4.208974201,-2.142332055,5.673489981
175,Overcast,Mild,TRUE,High,0.555202298,4.945183946,6.982877222,4.479476019
176,Sunny,Hot,TRUE,Normal,28.605962,3.190786953,1.718473778,4.05033911
177,Overcast,Cool,TRUE,Normal,1.289372704,5.570751008,3.495657887,7.886158334
178,Rainy,Cool,TRUE,High,27.07378715,2.992105632,9.394784041,6.815056291
179,Sunny,Mild,FALSE,Normal,4.988214917,3.937052873,0.082306481,5.249090647
180,Overcast,Cool,FALSE,Normal,11.1500676,16.40952464,3.978969833,3.887536679
181,Sunny,Mild,TRUE,Normal,20.2621379,8.27044728,7.439460108,3.274084352
182,Overcast,Mild,TRUE,Normal,24.16190526,9.624494073,4.618726685,2.902551916
183,Overcast,Cool,FALSE,High,5.657534124,15.0002607,4.554530545,4.531920511
184,Sunny,Cool,FALSE,High,2.975319127,10.85785006,6.010322976,7.129694749
185,Sunny,Mild,TRUE,Normal,29.73752811,6.782538286,4.370823176,4.893918318
186,Rainy,Mild,TRUE,Normal,3.980839473,13.69773942,-2.126078205,4.694632512
187,Overcast,Mild,TRUE,Normal,5.280506296,12.33729318,4.345655309,3.0186492
188,Rainy,Mild,FALSE,Normal,11.73775314,10.87150807,4.718225456,6.1800861
189,Overcast,Cool,FALSE,Normal,15.19456782,5.25057173,-0.873561859,1.4322942
190,Sunny,Hot,TRUE,Normal,19.30479106,9.285872755,1.706759581,6.804910996
191,Sunny,Cool,TRUE,High,26.23028167,14.33287404,9.671657595,7.822638504
192,Rainy,Cool,TRUE,Normal,11.84951462,13.08433064,9.157071894,2.151703373
193,Rainy,Cool,TRUE,Normal,12.96590566,11.37321408,4.214750482,5.267221729
194,Rainy,Hot,FALSE,Normal,18.48874744,9.943878134,9.11075378,3.049447823
195,Sunny,Cool,FALSE,Normal,2.081855027,13.8051275,5.437032427,7.530866846
196,Overcast,Cool,TRUE,High,7.681685848,12.46121086,1.78752678,5.246611263
197,Sunny,Hot,TRUE,High,22.72132545,19.02585254,5.777097914,1.507299723
198,Sunny,Hot,TRUE,High,18.09575331,15.96551084,4.960144549,7.328263204
199,Overcast,Cool,TRUE,Normal,14.6302013,17.59309991,5.815417854,1.659197358
200,Rainy,Mild,TRUE,High,27.94355265,0.171091454,-0.937502649,3.782762251
201,Rainy,Mild,TRUE,High,1.996717763,8.814269898,-0.852608416,3.937709715
202,Rainy,Mild,TRUE,High,25.14342701,0.639168606,1.692522111,1.812480091
203,Rainy,Hot,FALSE,High,15.92378148,18.7024821,0.013011784,1.882969051
204,Overcast,Cool,TRUE,High,24.77725564,12.17227739,0.631087338,7.291004074
205,Rainy,Hot,FALSE,High,4.954715438,6.455146309,3.333214273,1.384157795
206,Sunny,Mild,FALSE,High,2.450050402,5.937215215,-2.538057156,3.566321439
207,Rainy,Mild,FALSE,High,5.99435709,14.14318975,3.770704019,2.311597638
208,Sunny,Cool,FALSE,High,16.17328784,7.400280582,7.803223655,7.306651522
209,Overcast,Cool,FALSE,Normal,17.29686395,7.402882494,7.669252951,6.726863993
210,Sunny,Cool,FALSE,High,18.87815714,10.56945411,1.885877992,6.124238884
211,Sunny,Cool,TRUE,Normal,0.60820506,9.153150584,-0.826499273,7.881470836
212,Sunny,Mild,TRUE,High,4.054353611,3.627618649,-2.260317117,3.943100303
213,Overcast,Cool,FALSE,High,11.29052007,11.57737232,-2.150840041,5.755590194
214,Sunny,Hot,TRUE,High,20.48665526,7.172771889,4.261700227,7.484968098
215,Overcast,Cool,TRUE,High,4.249036819,11.03585117,1.362047598,4.137521262
216,Sunny,Cool,FALSE,High,0.189569711,10.02313624,3.36760171,3.910725147
217,Rainy,Hot,FALSE,Normal,18.80215771,9.082095861,3.196577003,3.857294111
218,Sunny,Mild,TRUE,High,24.63141015,8.334095497,9.360991942,4.019136079
219,Rainy,Hot,TRUE,Normal,19.84420288,19.62893811,-0.587052277,1.062695783
220,Sunny,Cool,FALSE,Normal,12.13606769,13.49484029,7.72314769,5.282694137
221,Overcast,Cool,TRUE,Normal,3.497056991,12.67545979,-0.567348398,3.38685234
222,Sunny,Hot,TRUE,High,25.56400581,1.587806444,-0.996655097,4.310788726
223,Sunny,Cool,FALSE,Normal,22.89845613,0.512371776,4.60242234,3.457000444
224,Sunny,Hot,FALSE,Normal,21.79977787,9.57877304,1.078901634,5.556111117
225,Rainy,Cool,FALSE,High,21.26982235,14.06782701,0.581600986,7.175427833
226,Overcast,Hot,FALSE,High,1.005891847,6.093065394,6.945107723,4.819692284
227,Sunny,Hot,TRUE,High,28.00406314,0.680451756,1.623336808,1.922729056
228,Rainy,Hot,TRUE,High,8.252642433,15.28474185,6.497170173,1.407811031
229,Overcast,Hot,TRUE,Normal,0.398612145,15.77865273,6.678126987,1.65978858
230,Overcast,Cool,FALSE,High,28.21224311,10.54882492,-2.637246662,5.740456778
231,Rainy,Mild,TRUE,High,6.81646286,1.271818303,8.733067133,5.664483704
232,Rainy,Cool,TRUE,Normal,29.50010381,19.06585609,-0.877169605,5.231532088
233,Sunny,Mild,TRUE,High,22.88709833,3.599492061,6.238859954,4.327442389
234,Rainy,Hot,TRUE,Normal,1.302598562,7.836976394,5.313160407,7.334563869
235,Rainy,Mild,FALSE,High,0.216536422,5.976079552,3.662197807,3.923143858
236,Sunny,Hot,TRUE,Normal,4.042480982,0.782919018,9.680243222,3.517366389
237,Rainy,Mild,TRUE,Normal,8.131051684,15.68826919,-2.521548025,1.983232512
238,Rainy,Cool,TRUE,Normal,21.43734199,14.53195761,0.165012941,1.506135293
239,Overcast,Mild,TRUE,High,5.025957293,6.24448221,-2.31383486,3.676319816
240,Overcast,Hot,FALSE,Normal,12.08015607,16.31191318,6.359855174,7.437757154
241,Overcast,Cool,FALSE,Normal,25.20207156,6.085747357,-2.827771383,1.683115903
242,Sunny,Cool,TRUE,High,1.703216565,19.04045201,8.418978497,5.625666849
243,Overcast,Mild,FALSE,Normal,7.084405901,12.6944905,7.431693185,4.426435804
244,Sunny,Mild,FALSE,Normal,11.73432369,18.47498018,8.755042465,6.615677151
245,Overcast,Mild,TRUE,High,17.37865961,11.64627614,9.091337687,5.641288537
246,Rainy,Cool,TRUE,High,4.156539007,13.75949547,7.135373473,6.486759928
247,Rainy,Hot,TRUE,Normal,7.777114077,13.37500293,0.429964326,4.779420865
248,Sunny,Hot,TRUE,High,25.33275299,13.18937064,6.788654769,2.567161318
249,Sunny,Mild,FALSE,Normal,20.649984,3.192097923,7.018127829,4.055196107
250,Rainy,Cool,FALSE,Normal,11.14875587,8.965772138,1.843795039,6.233308762
251,Overcast,Mild,FALSE,High,16.05240359,5.86318806,5.868509408,2.02646727
252,Rainy,Mild,TRUE,Normal,3.886677342,5.664908071,0.435466254,6.393445785
253,Sunny,Cool,FALSE,Normal,19.26605477,19.71005254,5.031449889,6.478279475
254,Overcast,Mild,TRUE,Normal,27.09644687,17.90162571,8.995559243,5.722551332
255,Sunny,Hot,FALSE,Normal,15.92267503,5.237931867,2.66314802,7.561167682
256,Sunny,Hot,FALSE,Normal,19.8370693,4.85231986,3.913711282,2.210468429
257,Overcast,Cool,TRUE,Normal,5.265956299,12.88642669,1.462245789,5.49432529
258,Sunny,Cool,TRUE,High,22.30644916,6.104447288,5.901490518,2.856554672
259,Sunny,Hot,TRUE,High,10.28571873,14.53234127,-1.069511209,1.568476187
260,Overcast,Hot,TRUE,Normal,25.49674246,2.405935018,-2.088514713,3.09973254
261,Overcast,Mild,TRUE,Normal,23.90124286,19.15591881,7.628965983,4.672853788
262,Sunny,Hot,FALSE,High,1.557503782,17.8408188,-2.596598548,6.803856802
263,Overcast,Hot,TRUE,High,7.861030415,2.189007008,4.007911716,5.516002239
264,Overcast,Cool,TRUE,Normal,18.26250867,17.49752423,1.915517995,1.401288962
265,Sunny,Mild,FALSE,Normal,6.922173163,11.02698273,1.250112199,5.953924241
266,Overcast,Cool,FALSE,Normal,22.46959815,3.182335816,0.350905398,4.551151799
267,Overcast,Mild,FALSE,High,20.66097907,9.242302606,8.892367617,1.320327407
268,Overcast,Mild,FALSE,High,2.168115711,7.569876121,8.201604036,2.472888127
269,Overcast,Hot,FALSE,Normal,1.156687141,1.343030267,2.176612685,3.493596251
270,Overcast,Cool,TRUE,Normal,20.36942962,13.3798448,7.549621848,7.748781006
271,Rainy,Hot,FALSE,Normal,27.4295832,11.00313201,6.643499517,4.930484676
272,Overcast,Mild,TRUE,High,6.458681746,1.806941237,6.915699576,1.731713108
273,Rainy,Hot,TRUE,Normal,7.150070581,13.73539225,-2.41603396,1.898309344
274,Rainy,Cool,TRUE,Normal,23.86898953,19.265912,4.50933597,6.773313598
275,Rainy,Mild,FALSE,Normal,0.790886455,13.17169259,7.603939801,2.995696189
276,Rainy,Cool,TRUE,Normal,3.760072814,16.97567286,7.110651885,5.198007896
277,Overcast,Mild,FALSE,Normal,22.40003448,3.900985022,0.459706028,1.297877265
278,Rainy,Hot,FALSE,High,16.3213708,14.01305902,-1.662665767,6.668975684
279,Sunny,Hot,FALSE,High,17.62267077,8.370884358,0.954652232,7.705389756
280,Sunny,Mild,FALSE,Normal,0.895160346,7.946570098,7.750531648,4.301280958
281,Sunny,Cool,TRUE,High,29.17323136,19.792038,6.475376139,7.105849962
282,Rainy,Cool,FALSE,High,29.86109594,4.185268132,8.908999437,4.507286905
283,Rainy,Mild,FALSE,Normal,22.33726672,11.68529127,5.691966022,7.842698246
284,Overcast,Cool,TRUE,Normal,10.5434204,15.73263345,8.482724951,4.979891671
285,Rainy,Mild,TRUE,Normal,20.45016603,17.07205639,5.453528534,2.113267739
286,Overcast,Hot,TRUE,Normal,16.88628572,18.73900605,7.25379078,1.938405756
287,Rainy,Hot,FALSE,High,26.30976397,11.24698583,0.091929366,6.888534383
288,Overcast,Mild,TRUE,Normal,23.77286253,13.90453103,4.924638553,1.14377689
289,Overcast,Mild,FALSE,High,20.59731414,7.332732837,7.126590726,4.680545701
290,Overcast,Mild,FALSE,Normal,27.53052687,12.11027446,9.042543207,6.966756346
291,Rainy,Cool,FALSE,Normal,15.6556359,5.430282754,-0.519417209,4.17783472
292,Sunny,Mild,FALSE,High,9.944479265,4.645156207,2.932559959,6.819830774
293,Overcast,Hot,FALSE,Normal,21.71782145,3.980682621,2.553553431,3.3876778
294,Overcast,Cool,FALSE,Normal,18.52975501,12.74161279,8.639610856,5.040993024
295,Sunny,Cool,FALSE,High,22.1178426,10.89583316,5.086264265,1.24249041
296,Overcast,Mild,TRUE,High,29.89955409,2.792701443,-2.778579387,3.262845654
297,Rainy,Cool,FALSE,High,3.717861823,6.17920616,5.002782416,2.311180907
298,Sunny,Cool,TRUE,High,29.79220645,16.13303277,4.621118464,5.771403929
299,Rainy,Hot,FALSE,Normal,13.90130208,13.16871133,-0.57472151,5.147871956
300,Rainy,Mild,FALSE,High,24.72715095,3.235382867,4.777175641,7.99837257
301,Overcast,Hot,FALSE,Normal,29.4925913,17.02264606,-2.002858433,1.022540438
302,Sunny,Cool,FALSE,Normal,23.58277237,14.37258501,1.521009483,7.442856422
303,Sunny,Hot,FALSE,High,1.702611323,19.00731306,7.026155722,2.0170067
304,Overcast,Mild,TRUE,High,22.24253062,16.81078545,9.798043335,6.405727825
305,Sunny,Mild,TRUE,Normal,4.317442025,10.71281866,9.360062425,6.456198114
306,Rainy,Hot,TRUE,High,13.72145066,3.935452355,-1.238328088,7.548371884
307,Overcast,Mild,TRUE,High,14.82345314,9.784580885,3.19060479,3.44952833
308,Sunny,Mild,TRUE,High,14.09544817,12.63981907,-2.808285386,6.163960291
309,Sunny,Mild,TRUE,Normal,24.96208237,2.308917805,4.444319668,1.704584732
310,Sunny,Cool,FALSE,High,24.47971881,4.02502727,-1.805116849,2.850455942
311,Sunny,Cool,TRUE,Normal,1.120860729,0.202464706,6.39976164,7.3562717
312,Overcast,Hot,TRUE,High,24.65383267,3.752669796,1.218411159,2.043087334
313,Sunny,Cool,FALSE,High,0.527702613,16.3463991,-0.249605634,4.44449029
314,Sunny,Mild,TRUE,High,15.32914681,7.809618932,-0.391521645,2.253837638
315,Rainy,Cool,FALSE,High,13.52024915,15.04400744,6.956166193,4.564038556
316,Rainy,Cool,FALSE,Normal,29.99472913,0.885635014,5.140088328,1.526193786
317,Rainy,Cool,TRUE,High,0.867149602,17.19347094,3.383834093,1.959154735
318,Overcast,Hot,TRUE,High,23.50788546,0.166950757,1.637423302,6.741215881
319,Overcast,Mild,TRUE,High,8.038207072,0.798699522,-1.023983289,6.309266883
320,Rainy,Cool,TRUE,Normal,5.256679243,12.98775839,5.077078965,4.381129736
321,Overcast,Cool,TRUE,High,14.7393198,2.467072841,2.497520211,7.611633056
322,Sunny,Mild,FALSE,Normal,25.16716884,0.637073277,3.093835766,2.591294839
323,Rainy,Hot,TRUE,High,2.009202214,11.27764213,4.664962771,3.0056989
324,Sunny,Mild,FALSE,Normal,21.72699073,6.834732575,-1.461939731,4.025591773
325,Overcast,Cool,TRUE,High,7.379618007,8.895329829,5.41479038,2.97188694
326,Rainy,Cool,TRUE,High,28.97592889,4.865647677,5.515820112,5.295432311
327,Overcast,Mild,TRUE,High,24.31897802,6.891746049,1.586346246,6.547707597
328,Sunny,Hot,TRUE,Normal,0.984862689,1.487151553,4.132213347,5.756059772
329,Overcast,Cool,FALSE,High,9.265216859,14.85289306,-1.480982936,4.511347986
330,Sunny,Mild,FALSE,High,18.92568287,12.56193667,7.197717156,2.53933771
331,Overcast,Mild,TRUE,Normal,8.822990416,13.23768908,-1.186432167,7.45993776
332,Sunny,Hot,FALSE,Normal,15.96271376,9.908509957,1.734956117,6.556012465
333,Rainy,Mild,FALSE,High,26.09002648,7.961665275,5.887297978,6.39657182
334,Overcast,Mild,FALSE,High,16.25131252,18.98383957,5.667451535,7.620454318
335,Sunny,Hot,TRUE,High,14.67344319,15.15337243,7.913751705,7.408570765
336,Sunny,Cool,FALSE,Normal,13.89577342,10.19127799,-2.93225547,1.11318493
337,Rainy,Mild,TRUE,Normal,1.174588208,12.43684996,-0.140474752,3.016702358
338,Sunny,Cool,TRUE,Normal,29.8775058,9.490786546,-2.903888072,5.067932555
339,Sunny,Cool,FALSE,High,24.36129916,11.65780707,0.468657645,3.272949431
340,Sunny,Hot,FALSE,Normal,8.931010662,16.88771492,0.531093564,3.90413343
341,Rainy,Hot,FALSE,Normal,11.61122385,9.270488348,1.89879749,2.568307728
342,Sunny,Hot,TRUE,Normal,13.12285265,8.587901065,-1.308557649,1.135852691
343,Sunny,Cool,FALSE,High,29.41649076,9.560075256,5.31300867,7.432965191
